group_var,effect,group,value,se,lower_2.5,upper_97.5,model,time_period,experiment
taxon_site,Intercept,Cirsium_arvense_Oak Lake Field Station,-2.3,0.278,-2.844,-1.756,Hurdle_cond,1,DIST
taxon_site,Intercept,Cirsium_arvense_Wytham Woods,-2.758,0.53,-3.797,-1.719,Hurdle_cond,1,DIST
taxon_site,Intercept,Cirsium_palustre_Ainsdale Dune Slacks,-2.805,0.296,-3.385,-2.225,Hurdle_cond,1,DIST
taxon_site,Intercept,Cirsium_vulgare_Bayreuth DRAGNet,-2.562,0.555,-3.649,-1.475,Hurdle_cond,1,DIST
taxon_site,Intercept,Cirsium_vulgare_Cowichan,-2.748,0.422,-3.574,-1.922,Hurdle_cond,1,DIST
taxon_site,Intercept,Cirsium_vulgare_Jena,-2.667,0.541,-3.727,-1.607,Hurdle_cond,1,DIST
taxon_site,Intercept,Cirsium_vulgare_Lublin,-2.284,0.59,-3.441,-1.127,Hurdle_cond,1,DIST
taxon_site,Intercept,Cirsium_vulgare_San Claudio,-1.973,0.34,-2.639,-1.307,Hurdle_cond,1,DIST
taxon_site,Intercept,Cirsium_vulgare_Wytham Woods,-3.086,0.444,-3.957,-2.215,Hurdle_cond,1,DIST
taxon_site,Intercept,Daucus_carota_Agroscope Changins,-2.659,0.308,-3.262,-2.056,Hurdle_cond,1,DIST
taxon_site,Intercept,Daucus_carota_Bad Lauchstaedt,-2.575,0.476,-3.508,-1.642,Hurdle_cond,1,DIST
taxon_site,Intercept,Daucus_carota_CEREEP - Ecotron IDF,-1.958,0.333,-2.61,-1.306,Hurdle_cond,1,DIST
taxon_site,Intercept,Daucus_carota_Churning Rapids,-2.256,0.391,-3.023,-1.489,Hurdle_cond,1,DIST
taxon_site,Intercept,Daucus_carota_Kellogg Biological Station (KBS),-2.861,0.339,-3.525,-2.197,Hurdle_cond,1,DIST
taxon_site,Intercept,Daucus_carota_Kniezenberg,-2.752,0.421,-3.577,-1.927,Hurdle_cond,1,DIST
taxon_site,Intercept,Daucus_carota_Lublin,-2.596,0.322,-3.227,-1.965,Hurdle_cond,1,DIST
taxon_site,Intercept,Echinochloa_crus-galli_Lublin,-2.028,0.609,-3.222,-0.834,Hurdle_cond,1,DIST
taxon_site,Intercept,Echium_vulgare_Algaida,-2.772,0.386,-3.529,-2.015,Hurdle_cond,1,DIST
taxon_site,Intercept,Elymus_repens_Agroscope Changins,-2.5,0.557,-3.591,-1.409,Hurdle_cond,1,DIST
taxon_site,Intercept,Elymus_repens_Bad Lauchstaedt,-2.606,0.477,-3.54,-1.672,Hurdle_cond,1,DIST
taxon_site,Intercept,Elymus_repens_Cary IES,-2.452,0.39,-3.217,-1.687,Hurdle_cond,1,DIST
taxon_site,Intercept,Elymus_repens_Cedar Creek LTER,-1.473,0.236,-1.936,-1.01,Hurdle_cond,1,DIST
taxon_site,Intercept,Elymus_repens_Churning Rapids,-2.438,0.571,-3.556,-1.32,Hurdle_cond,1,DIST
taxon_site,Intercept,Elymus_repens_Jena,-2.842,0.284,-3.4,-2.284,Hurdle_cond,1,DIST
taxon_site,Intercept,Elymus_repens_Kellogg Biological Station (KBS),-2.561,0.55,-3.639,-1.483,Hurdle_cond,1,DIST
taxon_site,Intercept,Elymus_repens_Lublin,-1.823,0.255,-2.323,-1.323,Hurdle_cond,1,DIST
