MatrixID,SpeciesAuthor,SpeciesAccepted,Family,Class,Kingdom,Authors,DOI_ISBN,YearPublication,Country,Continent,Ecoregion,MatrixPopulation,MatrixTreatment,MatrixStartYear,MatrixStartMonth,MatrixStartSeason,MatrixEndYear,MatrixEndMonth,MatrixEndSeason,MatrixComposite,Lat,Lon,MatrixSplit,MatrixFec,MatrixDimension,OrganismType
238437,Cryptantha_flava_2,Cryptantha flava,Boraginaceae,Magnoliopsida,Plantae,Salguero-Gómez; Kempenich; Forseth; Casper,10.1890/13-1256.1,2014,USA,N America,DES,Redfleet State Park,Unmanipulated,2009,5,NA,2010,5,NA,Individual,40.5,-109.375,Divided,NA,10,Herbaceous perennial
238438,Cryptantha_flava_2,Cryptantha flava,Boraginaceae,Magnoliopsida,Plantae,Salguero-Gómez; Kempenich; Forseth; Casper,10.1890/13-1256.1,2014,USA,N America,DES,Redfleet State Park,Unmanipulated,2010,5,NA,2011,5,NA,Individual,40.5,-109.375,Divided,NA,10,Herbaceous perennial
238439,Cryptantha_flava_2,Cryptantha flava,Boraginaceae,Magnoliopsida,Plantae,Salguero-Gómez; Kempenich; Forseth; Casper,10.1890/13-1256.1,2014,USA,N America,DES,Redfleet State Park,Unmanipulated,2011,5,NA,2012,5,NA,Individual,40.5,-109.375,Divided,NA,10,Herbaceous perennial
238464,Cyrtandra_dentata_2,Cyrtandra dentata,Gesneriaceae,Magnoliopsida,Plantae,Bialic-Murphy; Gaoue; Kawelo,10.1111/1365-2664.12868,2017,USA,N America,TGV,Kahanahaiki,Unmanipulated,2010,NA,NA,2014,NA,NA,Mean,21.533333,-158.2,Divided,NA,4,Shrub
238465,Cyrtandra_dentata_2,Cyrtandra dentata,Gesneriaceae,Magnoliopsida,Plantae,Bialic-Murphy; Gaoue; Kawelo,10.1111/1365-2664.12868,2017,USA,N America,TGV,Kahanahaiki,Unmanipulated,2010,NA,NA,2011,NA,NA,Mean,21.533333,-158.2,Divided,NA,4,Shrub
238466,Cyrtandra_dentata_2,Cyrtandra dentata,Gesneriaceae,Magnoliopsida,Plantae,Bialic-Murphy; Gaoue; Kawelo,10.1111/1365-2664.12868,2017,USA,N America,TGV,Kahanahaiki,Unmanipulated,2011,NA,NA,2012,NA,NA,Mean,21.533333,-158.2,Divided,NA,4,Shrub
238467,Cyrtandra_dentata_2,Cyrtandra dentata,Gesneriaceae,Magnoliopsida,Plantae,Bialic-Murphy; Gaoue; Kawelo,10.1111/1365-2664.12868,2017,USA,N America,TGV,Kahanahaiki,Unmanipulated,2012,NA,NA,2013,NA,NA,Mean,21.533333,-158.2,Divided,NA,4,Shrub
238468,Cyrtandra_dentata_2,Cyrtandra dentata,Gesneriaceae,Magnoliopsida,Plantae,Bialic-Murphy; Gaoue; Kawelo,10.1111/1365-2664.12868,2017,USA,N America,TGV,Kahanahaiki,Unmanipulated,2013,NA,NA,2014,NA,NA,Mean,21.533333,-158.2,Divided,NA,4,Shrub
238469,Cyrtandra_dentata_2,Cyrtandra dentata,Gesneriaceae,Magnoliopsida,Plantae,Bialic-Murphy; Gaoue; Kawelo,10.1111/1365-2664.12868,2017,USA,N America,TGV,Kahanahaiki,Unmanipulated,2010,NA,NA,2014,NA,NA,Mean,21.533333,-158.2,Divided,NA,4,Shrub
238470,Cyrtandra_dentata_2,Cyrtandra dentata,Gesneriaceae,Magnoliopsida,Plantae,Bialic-Murphy; Gaoue; Kawelo,10.1111/1365-2664.12868,2017,USA,N America,TGV,Kahanahaiki,Unmanipulated,2010,NA,NA,2011,NA,NA,Mean,21.533333,-158.2,Divided,NA,4,Shrub
238471,Cyrtandra_dentata_2,Cyrtandra dentata,Gesneriaceae,Magnoliopsida,Plantae,Bialic-Murphy; Gaoue; Kawelo,10.1111/1365-2664.12868,2017,USA,N America,TGV,Kahanahaiki,Unmanipulated,2011,NA,NA,2012,NA,NA,Mean,21.533333,-158.2,Divided,NA,4,Shrub
238472,Cyrtandra_dentata_2,Cyrtandra dentata,Gesneriaceae,Magnoliopsida,Plantae,Bialic-Murphy; Gaoue; Kawelo,10.1111/1365-2664.12868,2017,USA,N America,TGV,Kahanahaiki,Unmanipulated,2012,NA,NA,2013,NA,NA,Mean,21.533333,-158.2,Divided,NA,4,Shrub
238473,Cyrtandra_dentata_2,Cyrtandra dentata,Gesneriaceae,Magnoliopsida,Plantae,Bialic-Murphy; Gaoue; Kawelo,10.1111/1365-2664.12868,2017,USA,N America,TGV,Kahanahaiki,Unmanipulated,2013,NA,NA,2014,NA,NA,Mean,21.533333,-158.2,Divided,NA,4,Shrub
238474,Cyrtandra_dentata_2,Cyrtandra dentata,Gesneriaceae,Magnoliopsida,Plantae,Bialic-Murphy; Gaoue; Kawelo,10.1111/1365-2664.12868,2017,USA,N America,TGV,Kahanahaiki,Unmanipulated,2010,NA,NA,2011,NA,NA,Mean,21.533333,-158.2,Divided,NA,4,Shrub
