site_name,New_taxon,local_provenance,new_provenance
Konza LTER DRAGNet,Achillea_millefolium,NAT,NAT
Konza LTER DRAGNet,Cirsium_undulatum,NAT,NAT
Konza LTER DRAGNet,Koeleria_macrantha,NAT,NAT
Konza LTER DRAGNet,Solidago_altissima,NAT,NAT
Konza LTER DRAGNet,Amaranthus_retroflexus,NAT,NAT
Kniezenberg,Ranunculus_acris,NAT,NAT
Kniezenberg,Anthoxanthum_odoratum,NAT,NAT
Kniezenberg,Achillea_millefolium,NAT,NAT
Kniezenberg,Elymus_repens,NAT,NAT
Kniezenberg,Lotus_corniculatus,NAT,NAT
Kniezenberg,Daucus_carota,NAT,NAT
Kniezenberg,Trifolium_pratense,NAT,NAT
Kniezenberg,Cerastium_fontanum,NAT,NAT
Kniezenberg,Ranunculus_repens,NAT,NAT
Kniezenberg,Lactuca_serriola,NAT,NAT
Kniezenberg,Veronica_arvensis,NAT,NAT
Hazelrigg,Cirsium_arvense,NAT,NAT
Hazelrigg,Anthoxanthum_odoratum,NAT,NAT
Hazelrigg,Cerastium_fontanum,NAT,NAT
Hazelrigg,Ranunculus_repens,NAT,NAT
Hazelrigg,Achillea_millefolium,NAT,NAT
Hazelrigg,Ranunculus_acris,NA,NAT
Ladybird Johnson Wildflower Center,Bothriochloa_ischaemum,INT,INT
Ladybird Johnson Wildflower Center,Prosopis_glandulosa,NAT,NAT
Ladybird Johnson Wildflower Center,Opuntia_macrorhiza,NAT,NAT
Ladybird Johnson Wildflower Center,Ratibida_columnifera,NAT,NAT
Ladybird Johnson Wildflower Center,Bouteloua_rigidiseta,NAT,NAT
LSU Botanical Garden,Solidago_altissima,NAT,NAT
Lublin,Cirsium_arvense,NAT,NAT
Lublin,Elymus_repens,NAT,NAT
Lublin,Fragaria_vesca,NAT,NAT
Lublin,Achillea_millefolium,NAT,NAT
Lublin,Cerastium_fontanum,NAT,NAT
Lublin,Ranunculus_repens,NAT,NAT
Lublin,Betula_pendula,NAT,NAT
Lublin,Daucus_carota,NAT,NAT
Lublin,Jacobaea_vulgaris,NAT,NAT
Lublin,Hypochaeris_radicata,NAT,NAT
Lublin,Echinochloa_crus-galli,INT,INT
Lublin,Erigeron_canadensis,INT,INT
Lublin,Plantago_media,NAT,NAT
Lublin,Melampyrum_pratense,NAT,NAT
Lublin,Agrimonia_eupatoria,NAT,NAT
Lublin,Cirsium_vulgare,NAT,NAT
Meranges,Ranunculus_acris,NAT,NAT
Meranges,Lotus_corniculatus,NAT,NAT
Meranges,Plantago_media,NAT,NAT
Meranges,Pimpinella_saxifraga,NAT,NAT
Meranges,Achillea_millefolium,NAT,NAT
Meranges,Trifolium_pratense,NAT,NAT
Millville,Isatis_tinctoria,INT,INT
Millville,Tragopogon_dubius,INT,INT
Millville,Agropyron_cristatum,INT,INT
Millville,Bromus_tectorum,INT,INT
Millville,Centaurea_stoebe,INT,INT
Millville,Elymus_repens,INT,INT
Nillahcootie,Themeda_triandra,NAT,NAT
