AccSpeciesName,LA_mean,LDMC_mean,SLA_mean,percent_c,percent_s,percent_r,C : S : R ,Strategy class,S (%),C (%),R (%),Red,Green,Blue,Colour values in SigmaPlot 
Leucanthemum vulgare,385.0723951,20.578581873673688,18.92096451,22.82890033,31.39563373,45.77546595,23 : 31 : 46 %,R/CSR,31.39563373,22.82890033,45.77546595,58,80,117,"@rgb(58,80,117)"
Leucocrinum montanum,303.1,18.2181,11.0702284,46.20148226,32.79899444,20.99952331,46 : 33 : 21 %,CS/CSR,32.79899444,46.20148226,20.99952331,118,84,54,"@rgb(118,84,54)"
Ligustrum sinense,725.2681436,31.564350761474852,19.1996026,19.63764892,53.5230995,26.83925158,20 : 54 : 27 %,S/CSR,53.5230995,19.63764892,26.83925158,50,136,68,"@rgb(50,136,68)"
Linaria vulgaris,73.54199634,20.293565573279785,26.26398932,5.432504653,28.49933685,66.06815849,5 : 28 : 66 %,R/SR,28.49933685,5.432504653,66.06815849,14,73,168,"@rgb(14,73,168)"
Liquidambar styraciflua,6324.283688,33,16.2058961,46.27327771,39.73412147,13.99260083,46 : 40 : 14 %,CS/CSR,39.73412147,46.27327771,13.99260083,118,101,36,"@rgb(118,101,36)"
Lolium arundinaceum,2435.57159,22.34360447151047,25.45280715,38.77465927,24.24635752,36.9789832,39 : 24 : 37 %,CR/CSR,24.24635752,38.77465927,36.9789832,99,62,94,"@rgb(99,62,94)"
Lolium multiflorum,1081.837839,19.429302290233583,27.15339194,31.77160208,16.85542369,51.37297423,32 : 17 : 51 %,R/CSR,16.85542369,31.77160208,51.37297423,81,43,131,"@rgb(81,43,131)"
Lolium perenne,250.0579545,25.430165686702683,22.88837336,12.27546714,45.00604101,42.71849186,12 : 45 : 43 %,SR/CSR,45.00604101,12.27546714,42.71849186,31,115,109,"@rgb(31,115,109)"
Lolium pratense,2523.11488,26.96722892065564,19.04954312,37.69452448,37.60369067,24.70178484,38 : 38 : 25 %,CS/CSR,37.60369067,37.69452448,24.70178484,96,96,63,"@rgb(96,96,63)"
Lolium rigidum,164.518,23.39807366,24.91346631,9.654646717,39.401241,50.94411229,10 : 39 : 51 %,SR,39.401241,9.654646717,50.94411229,25,100,130,"@rgb(25,100,130)"
Lonicera japonica,1971.808914,33.89650163695736,17.73148026,29.75875169,50.2354209,20.00582741,30 : 50 : 20 %,S/CSR,50.2354209,29.75875169,20.00582741,76,128,51,"@rgb(76,128,51)"
Lotus alpinus,71.2067619,23.97452380534712,21.025348,4.818688346,47.78507713,47.39623453,5 : 48 : 47 %,SR,47.78507713,4.818688346,47.39623453,12,122,121,"@rgb(12,122,121)"
Lotus pedunculatus,831.7916667,21.048967282113058,27.53401541,25.98481842,24.2070032,49.80817838,26 : 24 : 50 %,R/CSR,24.2070032,25.98481842,49.80817838,66,62,127,"@rgb(66,62,127)"
Ludwigia palustris,75,20.140208333333334,31.02134397,5.055604041,24.9451402,69.99925576,5 : 25 : 70 %,R/SR,24.9451402,5.055604041,69.99925576,13,64,178,"@rgb(13,64,178)"
Luzula campestris,228.9801111,25.581866434936995,23.76168179,11.31069539,44.86561476,43.82368985,11 : 45 : 44 %,SR/CSR,44.86561476,11.31069539,43.82368985,29,114,112,"@rgb(29,114,112)"
Luzula multiflora,160.2271997,24.17872623217347,24.53372913,9.198750063,41.99959101,48.80165893,9 : 42 : 49 %,SR,41.99959101,9.198750063,48.80165893,23,107,124,"@rgb(23,107,124)"
Lyonia mariana,753,40,10.25689049,20.94501022,76.9630684,2.091921381,21 : 77 : 2 %,S/CS,76.9630684,20.94501022,2.091921381,53,196,5,"@rgb(53,196,5)"
Lysimachia nummularia,150.9072727,21.122947368421052,34.32628535,8.576329639,26.49084869,64.93282168,9 : 26 : 65 %,R/SR,26.49084869,8.576329639,64.93282168,22,68,166,"@rgb(22,68,166)"
Malva moschata,584.8947368,21.533333333333335,17.28258127,27.86590935,35.3089889,36.82510175,28 : 35 : 37 %,CSR,35.3089889,27.86590935,36.82510175,71,90,94,"@rgb(71,90,94)"
Medicago littoralis,92.18538462,25.421,25.3575334,5.341591003,45.89452486,48.76388413,5 : 46 : 49 %,SR,45.89452486,5.341591003,48.76388413,14,117,124,"@rgb(14,117,124)"
Medicago lupulina,293.1352734,24.457701531051054,27.70368746,12.88016389,38.3078298,48.81200631,13 : 38 : 49 %,SR/CSR,38.3078298,12.88016389,48.81200631,33,98,124,"@rgb(33,98,124)"
Medicago minima,116.0305263,30.147036704301073,22.39734012,5.903417765,56.62277336,37.47380887,6 : 57 : 37 %,SR,56.62277336,5.903417765,37.47380887,15,144,96,"@rgb(15,144,96)"
Melampyrum pratense,578.3950814,21.52679708160543,24.12319347,22.87616496,29.15765105,47.96618398,23 : 29 : 48 %,R/CSR,29.15765105,22.87616496,47.96618398,58,74,122,"@rgb(58,74,122)"
Mentha aquatica,434.7095455,19.03769453328356,25.29470826,22.40203819,18.23525877,59.36270303,22 : 18 : 59 %,R/CSR,18.23525877,22.40203819,59.36270303,57,46,151,"@rgb(57,46,151)"
Morus alba,4884.011604,33.96312898964605,18.33523749,40.66343516,41.81046955,17.52609529,41 : 42 : 18 %,CS/CSR,41.81046955,40.66343516,17.52609529,104,107,45,"@rgb(104,107,45)"
Muehlenbeckia axillaris,60.791,32.211520033333336,14.08868717,3.476845447,76.30365205,20.21950251,3 : 76 : 20 %,S/SR,76.30365205,3.476845447,20.21950251,9,195,52,"@rgb(9,195,52)"
Muhlenbergia schreberi,130.463065,34.373128397734796,33.87369636,4.990194537,52.61097463,42.39883084,5 : 53 : 42 %,SR,52.61097463,4.990194537,42.39883084,13,134,108,"@rgb(13,134,108)"
Myosotis arvensis,235.1964978,16.353534813311587,41.84970201,13.96119463,0,86.03880537,14 : 0 : 86 %,R,0,13.96119463,86.03880537,36,0,219,"@rgb(36,0,219)"
Myosotis ramosissima,1125,16.20475,31.96222222,35.36616497,0,64.63383503,35 : 0 : 65 %,R/CR,0,35.36616497,64.63383503,90,0,165,"@rgb(90,0,165)"
Nardus stricta,113.9737188,39.28660672310721,10.7283164,6.275712034,89.03944937,4.684838598,6 : 89 : 5 %,S,89.03944937,6.275712034,4.684838598,16,227,12,"@rgb(16,227,12)"
Nepeta cataria,675,26.90888288316517,27.35185224,18.85233474,40.34760256,40.8000627,19 : 40 : 41 %,SR/CSR,40.34760256,18.85233474,40.8000627,48,103,104,"@rgb(48,103,104)"
Ocimum obovatum,386.1598012,17.671463332433046,25.38787566,23.33643237,9.516039867,67.14752776,23 : 10 : 67 %,R/CR,9.516039867,23.33643237,67.14752776,60,24,171,"@rgb(60,24,171)"
Oenothera biennis,2556.9556,22.46483556344986,17.83320964,45.31993616,28.08111457,26.59894927,45 : 28 : 27 %,C/CSR,28.08111457,45.31993616,26.59894927,116,72,68,"@rgb(116,72,68)"
